theta,uvel,tke,vert_heights,brunt,tke_250,tke_1000
,,,,,0.865352334,0.29486156
,,,,,0.863991274,0.29668868
,,,,,0.863127796,0.298751039
,,,,,0.863041902,0.301511999
,,,,,0.864129529,0.305150282
,,,,,0.865214359,0.308981246
,,,,,0.865495443,0.312588528
,,,,,0.86510392,0.315530917
,,,,,0.864327511,0.31738565
,,,,,0.863723231,0.318442737
,,,,,0.863367852,0.319046545
,,,,,0.862679645,0.319234498
,,,,,0.860919555,0.318835351
,,,,,0.856399613,0.317673845
,,,,,0.848711168,0.316367176
,,,,,0.840250213,0.316786148
,,,,,0.831109127,0.318110722
,,,,,0.82236969,0.319036722
,,,,,0.815500896,0.319244797
,,,,,0.8100964,0.319006018
,,,,,0.805115669,0.318774968
,,,,,0.799985195,0.318946339
,,,,,0.794914178,0.319477517
,,,,,0.790550296,0.319906828
,,,,,0.787347497,0.319922852
,,,,,0.785149345,0.32045393
,,,,,0.783614595,0.321173104
,,,,,0.782460953,0.321854122
,,,,,0.781315578,0.322454476
,,,,,0.779500672,0.322819033
,,,,,0.776227673,0.322769434
,,,,,0.771403432,0.322358928
,,,,,0.765820765,0.321657147
,,,,,0.75991734,0.320805511
,,,,,0.753420895,0.320857908
,,,,,0.746061503,0.321290295
,,,,,0.737925633,0.321471231
,,,,,0.729305957,0.321513108
,,,,,0.720138626,0.321382667
,,,,,0.710314613,0.320853863
,,,,,0.700405768,0.319987811
,,,,,0.690490485,0.318620779
,,,,,0.679835623,0.316562863
,,,,,0.668584702,0.313983323
,,,,,0.657914429,0.311194212
,,,,,0.648463692,0.308407332
,,,,,0.64003077,0.305681568
,,,,,0.632273906,0.302830897
,,,,,0.624765021,0.299651637
,,,,,0.617087092,0.296249853
,,,,,0.609100888,0.29279674
,,,,,0.600879528,0.289417754
,,,,,0.592614498,0.286228667
,,,,,0.584685953,0.283371664
,,,,,0.577474062,0.281041185
,,,,,0.570951766,0.2790974
,,,,,0.564669828,0.276964221
,,,,,0.558240217,0.274491663
,,,,,0.551687948,0.271545193
,,,,,0.545213176,0.267700572
,,,,,0.538837788,0.262672579
,,,,,0.53226147,0.258393919
,,,,,0.524884899,0.255740721
,,,,,0.51606294,0.254006746
,,,,,0.505616973,0.252744748
,,,,,0.494111832,0.251968355
,,,,,0.482965431,0.251618452
,,,,,0.474029538,0.251465524
,,,,,0.466444114,0.251286833
,,,,,0.458029993,0.250700877
,,,,,0.449550034,0.249684468
,,,,,0.441689156,0.248680185
,,,,,0.433804873,0.247975926
,,,,,0.423902354,0.247520954
,,,,,0.411744057,0.247254942
,,,,,0.398639215,0.247115894
,,,,,0.386124203,0.246945498
,,,,,0.375306985,0.246514264
,,,,,0.365606053,0.245448984
,,,,,0.3558781,0.243576975
,,,,,0.345586164,0.241102145
,,,,,0.359497098,0.238050509
,,,,,0.359497098,0.234149807
,,,,,0.359497098,0.228747121
,,,,,0.359497098,0.221816636
,,,,,0.359497098,0.214271533
,,,,,0.359497098,0.206957324
,,,,,0.359497098,0.20015004
,,,,,0.359497098,0.193799633
,,,,,0.359497098,0.187745486
,,,,,0.359497098,0.181859693
,,,,,0.359497098,0.175953654
,,,,,0.359497098,0.169218143
,,,,,0.359497098,0.161859183
,,,,,0.3655,0.15584595
,,,,,0.359497098,0.151181515
,,,,,0.359497098,0.146768783
,,,,,0.359497098,0.142319933
,,,,,0.391,0.137882999
,,,,,0.359497098,0.133368127
,,,,,0.359497098,0.128834882
,,,,,0.359497098,0.124202866
,,,,,0.359497098,0.118969416
,,,,,0.359497098,0.112930232
,,,,,0.359497098,0.106350606
,,,,,0.3485,0.099852436
,,,,,0.359497098,0.0936595
,,,,,0.359497098,0.088124519
,,,,,0.359497098,0.083682156
,,,,,0.359497098,0.080045755
,,,,,0.359497098,0.076781453
,,,,,0.3655,0.073654846
,,,,,0.437317646,0.129375
,,,,,0.437317646,0.135
,,,,,0.437317646,0.140625
,,,,,0.437317646,0.073125
,,,,,0.437317646,0.135
,,,,,0.437317646,0.140625
,,,,,0.437317646,0.1423125
,,,,,0.437317646,0.129375
,,,,,0.437317646,0.19125
,,,,,0.437317646,0.12375
,,,,,0.437317646,0.106875
,,,,,0.437317646,0.10125
,,,,,0.437317646,0.10125
,,,,,0.437317646,0.10125
,,,,,0.437317646,0.10125
,,,,,0.437317646,0.10125
,,,,,0.437317646,0.10125
,,,,,0.437317646,0.097122896
,,,,,0.437317646,0.090002935
,,,,,0.437317646,0.083806406
,,,,,0.437317646,0.078387963
,,,,,0.437317646,0.073460793
,,,,,0.437317646,0.06877069
,,,,,0.437317646,0.064357387
,,,,,0.437317646,0.060315503
,,,,,0.437317646,0.056468391
,,,,,0.437317646,0.052679414
,,,,,0.437317646,0.049058902
,,,,,0.437317646,0.045935132
,,,,,0.437317646,0.043796258
,,,,,0.437317646,0.042857722
,,,,,0.437317646,0.042723883
,,,,,0.437317646,0.042695516
,,,,,0.437317646,0.042478742
,,,,,0.437317646,0.042083719
,,,,,0.437317646,0.04166007
,,,,,0.437317646,0.041374483
,,,,,0.437317646,0.041209868
,,,,,0.437317646,0.040993817
,,,,,0.437317646,0.040578284
,,,,,0.437317646,0.039925607
,,,,,0.388282786,0.039013745
,,,,,0.388282786,0.037781427
,,,,,0.388282786,0.036194812
,,,,,0.388282786,0.034266399
,,,,,0.388282786,0.032049957
,,,,,0.388282786,0.029662583
,,,,,0.388282786,0.02730105
,,,,,0.388282786,0.025217889
,,,,,0.388282786,0.023566569
,,,,,0.388282786,0.022286894
,,,,,0.388282786,0.021207087
,,,,,0.388282786,0.02016331
,,,,,0.388282786,0.019007182
,,,,,0.388282786,0.017669978
,,,,,0.388282786,0.016195323
,,,,,0.388282786,0.014690127
,,,,,0.388282786,0.013268921
,,,,,0.388282786,0.012031628
,,,,,0.388282786,0.0110329
,,,,,0.388282786,0.010276133
,,,,,0.388282786,0.009731878
,,,,,0.388282786,0.009346719
,,,,,0.388282786,0.009064928
,,,,,0.388282786,0.008859529
,,,,,0.388282786,0.008719128
,,,,,0.388282786,0.008633883
,,,,,0.388282786,0.008595431
,,,,,0.388282786,0.008611352
,,,,,0.388282786,0.00870856
,,,,,0.388282786,0.008908431
,,,,,0.388282786,0.009200854
,,,,,0.388282786,0.00954278
,,,,,0.388282786,0.009887495
,,,,,0.437317646,0.010219618
,,,,,0.437317646,0.010555214
,,,,,0.437317646,0.010915656
,,,,,0.437317646,0.011296066
,,,,,0.437317646,0.011650148
,,,,,0.437317646,0.011917586
,,,,,0.437317646,0.012082972
,,,,,0.437317646,0.012205698
,,,,,0.437317646,0.012377852
,,,,,0.437317646,0.0126341
,,,,,0.437317646,0.012920463
,,,,,0.437317646,0.013181058
,,,,,0.437317646,0.013431949
,,,,,0.437317646,0.0137307
,,,,,0.437317646,0.014108201
,,,,,0.437317646,0.014552705
,,,,,0.437317646,0.015081812
,,,,,0.437317646,0.015752527
,,,,,0.437317646,0.016544313
,,,,,0.437317646,0.017336732
,,,,,0.437317646,0.018040465
